Este		Norte
967438.177    1681398.805
967542.209    1681172.383
967487.134    1680731.777
967474.895    1680364.605
967444.297    1680150.422
967517.731    1680046.39
967456.536    1679875.043
967077.126    1679722.055
966777.269    1679642.501
966397.858    1679507.872
964788.423    1678761.29
963729.745    1678467.553
962793.458    1678363.521
962236.581    1678228.891
961997.92     1678198.293
961918.366    1678155.457
961759.258    1677776.046
961661.346    1677623.058
961563.434    1677586.341
961600.151    1677714.851
961441.043    1677763.807
961398.206    1677825.002
961379.848    1678057.544
961245.218    1678192.174
961147.306    1678222.772
960920.883    1678179.935
960737.298    1678063.664
960192.66     1678008.588
959739.815    1677886.198
959103.384    1677843.361
958546.508    1677837.242
958466.954    1677898.437
958454.715    1678075.903
958326.205    1678283.967
958399.639    1678528.748
958540.388    1679177.417
958515.91     1679183.537
958497.552    1679238.613
958375.161    1679465.035
958387.4      1679624.143
958142.619    1679954.597
958093.663    1680089.227
958063.065    1680321.769
958026.348    1680431.92
957971.272    1680493.115
957977.392    1680701.179
957952.914    1680811.331
957824.404    1681784.335
957848.882    1682261.658
957897.838    1682433.005
957916.197    1682763.459
957897.838    1683026.599
957952.914    1683663.029
957952.914    1684195.428
957989.631    1684366.775
958001.87     1685339.779
957940.675    1686000.688
957793.806    1686624.879
957659.177    1686802.346
957555.145    1687255.19
957475.591    1687395.939
957224.69     1687652.96
957047.224    1687891.621
956741.248    1688191.478
956557.662    1688283.271
956539.304    1688326.107
956208.849    1688564.769
956147.654    1688674.92
956068.1      1688999.255
956006.905    1689776.435
955921.232    1690382.268
955700.929    1690608.69
955603.016    1690712.722
955645.853    1690731.081
955780.482    1690908.547
955645.853    1691073.774
955694.809    1691557.216
955774.363    1691893.79
955841.678    1692334.396
955872.275    1692756.643
955841.678    1693142.173
955468.387    1693803.082
955241.964    1694096.819
954923.749    1694408.915
954783.0      1694494.588
954752.402    1694512.947
954366.872    1694892.358
954177.167    1695045.346
954018.059    1695216.692
953926.266    1695375.8
953161.326    1695932.677
953057.294    1695987.753
953057.294    1696012.231
952947.142    1696079.545
952781.915    1696293.729
952635.047    1696434.478
952616.688    1696507.912
